recipe_id,ing_id,ing_name,cat,continent
205799,16133,chicken broth,animal,LAT
134316,4311,fresh corn kernel,plant,LAT
134316,6281,lard,animal,LAT
134316,4397,onion,plant,LAT
134316,4342,garlic,spice,LAT
134316,3723,serrano pepper,plant,LAT
134316,4657,green chile pepper,plant,LAT
134316,4786,red bell pepper,plant,LAT
134316,16406,ground black pepper,spice,LAT
134316,20453,Roma (plum) tomato,plant,LAT
134326,16319,egg yolk,animal,LAT
134326,1527,confectioners' sugar,condiment,LAT
134326,16386,ground cinnamon,spice,LAT
134328,5140,orange juice,plantproduct,LAT
134328,16294,sweetened condensed milk,dairy,LAT
130821,6307,olive oil,condiment,LAT
130821,4397,onion,plant,LAT
130821,20447,habanero pepper,plant,LAT
130821,4342,garlic,spice,LAT
130821,5112,lime juice,plantproduct,LAT
130821,7842,white vinegar,condiment,LAT
130821,3717,fresh cilantro,spice,LAT
130821,1526,white sugar,condiment,LAT
130821,16403,dried oregano,spice,LAT
130821,16406,ground black pepper,spice,LAT
130821,20551,ground cumin,spice,LAT
263219,20269,red onion,plant,LAT
263219,5112,lime juice,plantproduct,LAT
263219,4292,celery,plant,LAT
263219,4343,fresh ginger root,spice,LAT
263219,4342,garlic,spice,LAT
263219,3717,fresh cilantro,spice,LAT
263219,5111,lime,plant,LAT
263554,6307,olive oil,condiment,LAT
263554,1525,brown sugar,condiment,LAT
263554,4342,garlic,spice,LAT
263554,16404,paprika,spice,LAT
263554,16404,paprika,spice,LAT
263554,16385,chili powder,spice,LAT
263554,5106,lemon,plant,LAT
264520,5112,lime juice,plantproduct,LAT
264520,16406,ground black pepper,spice,LAT
264520,1684,all-purpose flour,grain,LAT
264520,16406,ground black pepper,spice,LAT
264520,20482,frying oil,condiment,LAT
264520,4397,onion,plant,LAT
264520,16377,ground allspice,spice,LAT
264520,7842,white vinegar,condiment,LAT
264520,3686,ketchup,condiment,LAT
263601,2356,baking powder,other,LAT
263601,6307,olive oil,condiment,LAT
263626,3467,rum,condiment,LAT
263626,2882,soy sauce,condiment,LAT
265086,4572,tomato,plant,LAT
265086,3723,serrano pepper,plant,LAT
265086,4342,garlic,spice,LAT
265086,6305,vegetable oil,condiment,LAT
265086,2351,corn tortilla,grain,LAT
265086,16317,egg,animal,LAT
264662,16133,chicken broth,animal,LAT
264662,4397,onion,plant,LAT
264662,4342,garlic,spice,LAT
264662,16403,dried oregano,spice,LAT
